AVQ,20141023,0.019,0.02,0.018,0.018,9612281
AWC,20141023,1.675,1.677,1.615,1.655,21249311
AWE,20141023,1.73,1.77,1.71,1.76,2873607
AWI,20141023,0.16,0.18,0.16,0.17,590228
AXC,20141023,0.017,0.019,0.017,0.019,1001589
AXE,20141023,0.17,0.17,0.16,0.16,203075
AYR,20141023,0.008,0.008,0.008,0.008,250000
AZJ,20141023,4.54,4.58,4.52,4.53,10836204
AZS,20141023,0.024,0.024,0.023,0.023,601951
AZV,20141023,0.44,0.44,0.41,0.41,194465
AZZ,20141023,0.435,0.44,0.427,0.43,340054
BAL,20141023,1.44,1.45,1.435,1.435,90645
BAP,20141023,2.35,2.36,2.33,2.33,138634
BAS,20141023,0.006,0.006,0.006,0.006,521375
BAU,20141023,0.125,0.125,0.115,0.115,188227
BBG,20141023,0.675,0.68,0.66,0.675,325991
BCI,20141023,1.41,1.435,1.385,1.41,1791376
BCT,20141023,0.074,0.078,0.074,0.078,125440
BDI,20141023,0.002,0.002,0.002,0.002,39803571
BDR,20141023,0.35,0.355,0.335,0.345,3120955
BEAR,20141023,18.12,18.13,18.04,18.07,81737
BEN,20141023,11.92,11.92,11.76,11.83,1102892
BFG,20141023,0.52,0.52,0.52,0.52,12512
BGA,20141023,5.03,5.14,5.03,5.14,224390
BGL,20141023,0.84,0.84,0.812,0.83,99233
BHP,20141023,33.73,33.88,33.6,33.64,8195138
BIT,20141023,0.115,0.115,0.105,0.105,1306192
BKI,20141023,1.58,1.585,1.58,1.585,88805
BKL,20141023,31.05,33,31.05,32.2,27204
BKN,20141023,3.47,3.47,3.365,3.37,1546396
BKW,20141023,13.2,13.32,13.18,13.32,48071
BLA,20141023,2.8,2.8,2.79,2.79,9364
BLD,20141023,5.05,5.08,4.92,4.95,3919089
BLG,20141023,0.135,0.135,0.135,0.135,42500
BLT,20141023,0.68,0.68,0.63,0.65,720794
BLX,20141023,1.11,1.15,1.11,1.15,33053
BLY,20141023,0.185,0.235,0.18,0.23,33805336
BLZ,20141023,0.001,0.001,0.001,0.001,9400000
BML,20141023,0.024,0.024,0.022,0.022,569068
BNE,20141023,0.013,0.013,0.013,0.013,406781
BNO,20141023,0.57,0.57,0.565,0.57,23450
BOL,20141023,0.145,0.145,0.145,0.145,136581
BOQ,20141023,12.42,12.45,12.33,12.38,779993
BPF,20141023,0.27,0.27,0.265,0.265,43750
BPT,20141023,1.295,1.295,1.275,1.28,4682970
BRG,20141023,7.06,7.15,7.01,7.04,304778
BRL,20141023,0.037,0.037,0.037,0.037,24737
BRU,20141023,0.755,0.76,0.74,0.745,279326
BSA,20141023,0.115,0.115,0.115,0.115,100000
BSL,20141023,5.08,5.08,4.99,5.02,2519029
BTC,20141023,0.088,0.088,0.085,0.085,168409
BTR,20141023,0.26,0.26,0.255,0.26,98357
BTT,20141023,6.1,6.14,5.99,6.05,51996
BUL,20141023,0.04,0.045,0.04,0.044,1704847
BUX,20141023,0.18,0.18,0.175,0.18,114480
BUY,20141023,0.015,0.015,0.014,0.014,509337
BWP,20141023,2.41,2.46,2.41,2.44,1038477
BWR,20141023,0.09,0.09,0.089,0.09,375000
BXB,20141023,9.39,9.39,9.32,9.36,4148895
BYL,20141023,0.45,0.45,0.45,0.45,49126
CAA,20141023,0.12,0.12,0.12,0.12,54000
CAB,20141023,4.83,4.84,4.72,4.75,178431
CAJ,20141023,0.64,0.64,0.62,0.62,373170
CAQ,20141023,0.094,0.095,0.094,0.094,86765
CAS,20141023,0.31,0.31,0.3,0.3,96403
CBA,20141023,77.41,78.18,77.36,78.17,2259205
CCL,20141023,8.65,8.74,8.61,8.69,1358276
CCP,20141023,9.58,9.69,9.58,9.68,31246
CCV,20141023,0.995,1,0.99,0.99,56656
CDA,20141023,0.67,0.67,0.65,0.66,179460
CDD,20141023,5.86,6.38,5.4,5.46,1214616
CDG,20141023,0.07,0.071,0.07,0.071,794840
CDM,20141023,1.435,1.465,1.435,1.46,141053
CDP,20141023,6.02,6.12,6.02,6.12,274
CDU,20141023,1.385,1.4,1.32,1.365,704301
CEL,20141023,0.06,0.072,0.06,0.065,217361
CFU,20141023,0.008,0.008,0.008,0.008,4443191
CFX,20141023,2.03,2.06,2.03,2.05,6887029
CGF,20141023,6.8,6.8,6.67,6.71,1924571
CGR,20141023,0.21,0.215,0.21,0.215,14651
CHC,20141023,4.21,4.29,4.19,4.29,589603
CHK,20141023,0.069,0.069,0.069,0.069,10533
CHZ,20141023,0.155,0.155,0.155,0.155,2527623
CIA,20141023,0.21,0.21,0.19,0.19,157134
CIN,20141023,27.43,27.45,27.43,27.45,2904
CIX,20141023,0.465,0.465,0.465,0.465,238640
CKF,20141023,2.13,2.2,2.12,2.19,37001
CLH,20141023,2.07,2.075,2.05,2.05,175610
CLQ,20141023,0.058,0.063,0.058,0.062,1017496
CLT,20141023,0.19,0.19,0.19,0.19,25003
CLX,20141023,1.7,1.7,1.7,1.7,5000
CMG,20141023,0.38,0.38,0.375,0.375,48102
CMW,20141023,0.975,0.98,0.975,0.98,3445434
CMY,20141023,0.007,0.007,0.007,0.007,1305000
CNI,20141023,0.94,0.95,0.94,0.94,32118
CNQ,20141023,0.13,0.13,0.13,0.13,448990
CNU,20141023,1.79,1.815,1.79,1.815,106572
CNX,20141023,0.053,0.054,0.051,0.051,2932795
COE,20141023,0.41,0.41,0.405,0.405,45284
COF,20141023,0.3,0.3,0.3,0.3,159838
COH,20141023,71.85,72.4,71.67,71.83,231690
COI,20141023,0.13,0.13,0.13,0.13,50000
COK,20141023,0.013,0.014,0.013,0.014,11729253
COZ,20141023,0.061,0.061,0.061,0.061,448198
CPL,20141023,0.028,0.028,0.028,0.028,593526
CPU,20141023,11.81,12.02,11.81,11.86,1386800
CQR,20141023,3.86,3.94,3.86,3.9,690556
CRH,20141023,0.49,0.495,0.49,0.49,3521529
CRZ,20141023,9.99,10.25,9.97,10.06,755464
CSD,20141023,0.052,0.052,0.049,0.05,214000
CSE,20141023,0.24,0.255,0.24,0.255,15000
CSL,20141023,74.33,74.95,74.2,74.9,697239
CSR,20141023,3.4,3.43,3.36,3.37,1616897
CSS,20141023,0.088,0.092,0.085,0.087,16112136
CSV,20141023,1.105,1.115,1.1,1.11,130428
CTD,20141023,8.79,8.84,8.51,8.59,146608
CTN,20141023,1.06,1.095,1.06,1.08,267776
CTO,20141023,0.018,0.018,0.017,0.017,328003
CTP,20141023,0.205,0.215,0.205,0.21,602907
CTR,20141023,0.003,0.003,0.003,0.003,14000
CTX,20141023,29.81,30.3,29.79,30.22,1002199
CUP,20141023,1.19,1.21,1.19,1.19,40533
CUU,20141023,0.02,0.02,0.018,0.018,723333
CVN,20141023,0.215,0.225,0.212,0.22,1764949
CVO,20141023,2.15,2.19,2.14,2.17,604236
CVV,20141023,0.012,0.012,0.012,0.012,153773
CVW,20141023,1.04,1.04,1.04,1.04,5162
CWE,20141023,0.051,0.051,0.05,0.051,431137
CWN,20141023,14.03,14.08,13.925,13.96,1494661
CWP,20141023,7.1,7.1,6.86,7.1,28769
CXO,20141023,0.056,0.056,0.055,0.055,24367
CXZ,20141023,0.22,0.22,0.185,0.185,295179
CYA,20141023,0.86,0.865,0.86,0.86,8332
CYG,20141023,2.49,2.49,2.45,2.45,35770
CZD,20141023,0.094,0.095,0.092,0.092,84898
CZI,20141023,0.175,0.185,0.175,0.18,2015870
CZN,20141023,0.006,0.006,0.006,0.006,300000
CZZ,20141023,6.3,6.4,6.3,6.4,7636
DCC,20141023,0.2,0.2,0.19,0.19,160945
DCG,20141023,1.85,1.875,1.825,1.84,282393
DDT,20141023,0.027,0.027,0.026,0.027,316095
DGX,20141023,0.044,0.044,0.043,0.043,636000
DJW,20141023,4.45,4.53,4.45,4.53,52418
DLS,20141023,1.15,1.175,1.14,1.145,1236506
DLX,20141023,5.35,5.385,5.34,5.38,1412557
DMP,20141023,28.98,29.19,28.76,29,139741
DNA,20141023,0.92,0.925,0.9,0.925,310941
DOW,20141023,4.49,4.69,4.48,4.54,2455127
DRA,20141023,0.09,0.09,0.09,0.09,203
DSH,20141023,2.06,2.09,2.05,2.07,638422
DSX,20141023,0.15,0.15,0.15,0.15,216732
DUE,20141023,2.42,2.43,2.4,2.41,4530377
DUI,20141023,3.37,3.39,3.37,3.37,28780
DVN,20141023,0.95,0.965,0.95,0.95,70624
DWS,20141023,1.12,1.12,1.09,1.09,104660
DXS,20141023,1.175,1.187,1.172,1.185,14087388
DYE,20141023,0.24,0.255,0.24,0.24,311083
EAL,20141023,0.5,0.5,0.49,0.49,4000
EBT,20141023,3.86,3.88,3.83,3.88,27785
EGI,20141023,1.015,1.015,1.015,1.015,20000
EGP,20141023,3.55,3.56,3.52,3.52,4051581
EHL,20141023,0.195,0.2,0.19,0.195,1146635
ELD,20141023,0.175,0.18,0.17,0.18,1060531
ELM,20141023,0.165,0.18,0.165,0.18,1281778
EML,20141023,0.5,0.5,0.47,0.47,473645
ENE,20141023,5.45,5.52,5.45,5.52,12328
ENN,20141023,1.34,1.35,1.34,1.35,25668
EPD,20141023,0.78,0.78,0.765,0.765,458500
EPW,20141023,1.595,1.6,1.565,1.575,230559
EPX,20141023,1.11,1.11,1.105,1.105,19586
EQT,20141023,19.7,19.7,19.43,19.44,10710
EQX,20141023,0.275,0.275,0.27,0.27,12213
ERA,20141023,1.25,1.25,1.227,1.25,106056
ESI,20141023,0.009,0.009,0.009,0.009,1583957
ESV,20141023,0.615,0.62,0.595,0.6,109051
EVN,20141023,0.65,0.66,0.635,0.645,1318093
EVR,20141023,0.615,0.615,0.6,0.6,13378
EWC,20141023,0.345,0.35,0.345,0.345,127129
EXE,20141023,0.026,0.033,0.026,0.03,1292500
EXR,20141023,0.004,0.005,0.003,0.003,4000000
